U2	ENSFCAG00000042972	ENSFCAT00000057747	ENSFCAT00000057747.1
NBR1	ENSFCAG00000013147	ENSFCAT00000049610	ENSFCAT00000049610.3
-	ENSFCAG00000045766	ENSFCAT00000076195	ENSFCAT00000076195.1
U2	ENSFCAG00000042405	ENSFCAT00000063188	ENSFCAT00000063188.1
-	ENSFCAG00000024410	ENSFCAT00000083044	ENSFCAT00000083044.1
SNORD42	ENSFCAG00000050447	ENSFCAT00000083278	ENSFCAT00000083278.1
U6	ENSFCAG00000034475	ENSFCAT00000042003	ENSFCAT00000042003.2
U2	ENSFCAG00000045852	ENSFCAT00000062087	ENSFCAT00000062087.1
-	ENSFCAG00000041326	ENSFCAT00000081478	ENSFCAT00000081478.1
ALDOB	ENSFCAG00000001417	ENSFCAT00000001417	ENSFCAT00000001417.6
SCNN1D	ENSFCAG00000007609	ENSFCAT00000007614	ENSFCAT00000007614.6
-	ENSFCAG00000053785	ENSFCAT00000085682	ENSFCAT00000085682.1
-	ENSFCAG00000044066	ENSFCAT00000062732	ENSFCAT00000062732.2
-	ENSFCAG00000034808	ENSFCAT00000043238	ENSFCAT00000043238.2
SNORD42	ENSFCAG00000039499	ENSFCAT00000049320	ENSFCAT00000049320.2
-	ENSFCAG00000046388	ENSFCAT00000065384	ENSFCAT00000065384.1
PCCB	ENSFCAG00000010379	ENSFCAT00000042716	ENSFCAT00000042716.3
-	ENSFCAG00000045558	ENSFCAT00000069948	ENSFCAT00000069948.1
SLC25A38	ENSFCAG00000002738	ENSFCAT00000002738	ENSFCAT00000002738.5
COL5A3	ENSFCAG00000009383	ENSFCAT00000009385	ENSFCAT00000009385.6
-	ENSFCAG00000046299	ENSFCAT00000055247	ENSFCAT00000055247.1
GRIN3B	ENSFCAG00000018083	ENSFCAT00000018088	ENSFCAT00000018088.5
TDRD1	ENSFCAG00000000632	ENSFCAT00000044166	ENSFCAT00000044166.3
C1GALT1	ENSFCAG00000029442	ENSFCAT00000050591	ENSFCAT00000050591.2
U6	ENSFCAG00000034663	ENSFCAT00000040988	ENSFCAT00000040988.2
U6	ENSFCAG00000035212	ENSFCAT00000042627	ENSFCAT00000042627.2
AKAP1	ENSFCAG00000006839	ENSFCAT00000006841	ENSFCAT00000006841.6
